From_Epoch,To_Epoch,DataPoint,Prediction_Difference,Mean_Difference,Std_Difference
350,400,29,-0.086765826,-0.10655327,0.18822457
350,400,30,-0.06924808,-0.10655327,0.18822457
350,400,31,-0.06924814,-0.10655327,0.18822457
350,400,32,0.031969786,-0.10655327,0.18822457
350,400,33,0.031969786,-0.10655327,0.18822457
350,400,34,-0.08886951,-0.10655327,0.18822457
350,400,35,-0.08886951,-0.10655327,0.18822457
350,400,36,-0.20851243,-0.10655327,0.18822457
350,400,37,-0.20851243,-0.10655327,0.18822457
400,450,1,0.09950614,0.16755109,0.13965093
400,450,2,0.06454444,0.16755109,0.13965093
400,450,3,0.06454444,0.16755109,0.13965093
400,450,4,0.010354996,0.16755109,0.13965093
400,450,5,0.010354996,0.16755109,0.13965093
400,450,6,0.073379636,0.16755109,0.13965093
400,450,7,0.073379636,0.16755109,0.13965093
400,450,8,0.5656235,0.16755109,0.13965093
400,450,9,0.5656235,0.16755109,0.13965093
400,450,10,0.35594046,0.16755109,0.13965093
400,450,11,0.35594046,0.16755109,0.13965093
400,450,12,0.22498775,0.16755109,0.13965093
400,450,13,0.22498775,0.16755109,0.13965093
400,450,14,0.058552027,0.16755109,0.13965093
400,450,15,0.058552027,0.16755109,0.13965093
400,450,16,0.053735256,0.16755109,0.13965093
400,450,17,0.053735256,0.16755109,0.13965093
400,450,18,0.29699743,0.16755109,0.13965093
400,450,19,0.29699743,0.16755109,0.13965093
400,450,20,0.07705569,0.16755109,0.13965093
400,450,21,0.07705569,0.16755109,0.13965093
400,450,22,0.20443416,0.16755109,0.13965093
400,450,23,0.20443416,0.16755109,0.13965093
400,450,24,0.046936035,0.16755109,0.13965093
400,450,25,0.046936035,0.16755109,0.13965093
400,450,26,0.33054423,0.16755109,0.13965093
400,450,27,0.33054423,0.16755109,0.13965093
400,450,28,0.11576104,0.16755109,0.13965093
400,450,29,0.11576104,0.16755109,0.13965093
400,450,30,0.16356802,0.16755109,0.13965093
